stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state
1,2,3,0.000338,3,,,-0.000572,-0.000531,-0.000613,3
1,4,0,0.0,0,,,0.000163,0.000237,8.9e-05,2
1,6,1,8.8e-05,3,,,-0.000205,-0.000239,-0.000171,3
1,8,1,0.0,2,,,5.9e-05,4e-05,7.8e-05,2
1,10,1,0.0,2,,,0.000261,0.000382,0.00014,2
1,12,2,1.3e-05,3,,,-4.3e-05,-5.1e-05,-3.6e-05,3
1,14,2,4.4e-05,3,,,-0.000146,-0.000199,-9.4e-05,3
1,16,2,0.0,1,,,4.9e-05,7.8e-05,1.9e-05,1
1,18,3,0.000222,2,,,-0.00035,-0.000449,-0.000252,2
1,20,2,2.5e-05,3,,,-0.000193,0.000326,-0.000711,3
1,22,2,-1e-06,2,,,-0.0,1.4e-05,-1.5e-05,2
1,24,2,3.1e-05,3,,,-0.000105,-0.000132,-7.7e-05,3
1,26,2,5e-05,3,,,-0.000169,-0.000214,-0.000125,3
1,28,2,3.5e-05,3,,,-0.000123,-0.000147,-9.8e-05,3
1,30,2,3.1e-05,3,,,-0.000109,-0.000127,-9.2e-05,3
1,32,2,0.0,2,,,3e-06,1.2e-05,-5e-06,2
1,34,2,1.8e-05,3,,,-5.4e-05,-0.00011,3e-06,3
1,36,2,0.000128,3,,,-0.000449,-0.000512,-0.000386,3
1,38,2,0.0,2,,,0.000181,0.000222,0.00014,2
1,40,3,7e-06,0,,,-1.1e-05,-1.3e-05,-9e-06,1
1,42,2,0.000128,3,,,-0.00045,-0.000504,-0.000395,3
1,44,2,8e-06,2,,,-3.4e-05,-1e-05,-5.7e-05,2
1,46,2,1e-05,3,,,-3.3e-05,-5.7e-05,-8e-06,3
1,48,2,0.0,1,,,5.6e-05,8.3e-05,2.9e-05,1
1,50,1,0.0,1,,,1e-06,1e-06,1e-06,1
1,52,1,0.00024,2,,,-0.000549,-0.000688,-0.00041,2
1,54,1,8.5e-05,2,,,-0.000193,-0.000246,-0.00014,2
1,56,1,0.0,2,,,3.7e-05,-4e-06,7.7e-05,2
1,58,1,5.5e-05,3,,,-0.000127,-0.000149,-0.000104,3
1,60,1,2.5e-05,3,,,-5.7e-05,-6.8e-05,-4.6e-05,3
1,62,1,6.8e-05,3,,,-0.000157,-0.000187,-0.000127,3
1,64,1,0.0,2,,,1.9e-05,2.1e-05,1.6e-05,2
1,66,1,6e-05,3,,,-0.000145,-0.000141,-0.000148,3
1,68,1,0.0,1,,,0.000357,0.00057,0.000145,1
1,70,1,1.4e-05,3,,,-4.2e-05,4e-06,-8.8e-05,3
1,72,1,5.6e-05,3,,,-0.000126,-0.000162,-9e-05,3
1,74,1,3e-06,2,,,-7e-06,-1e-05,-4e-06,2
1,76,1,1.6e-05,3,,,-3.4e-05,-5.2e-05,-1.7e-05,3
1,78,3,0.00019,1,,,-0.00031,-0.000342,-0.000277,3
1,80,1,1e-05,3,,,-2.4e-05,-1.9e-05,-2.9e-05,3
