stage,step,action,reward,delta,delta_bb,delta_time
stage,step,action,reward,delta,delta_bb,delta_time
1,2,1,0.0,2.4e-05,-3e-05,7.9e-05
1,4,3,0.000326,-0.000562,-0.000472,-0.000652
1,6,1,8e-06,-2.1e-05,-1.4e-05,-2.9e-05
1,8,2,1e-06,-1e-06,-5e-06,2e-06
1,10,1,0.000153,-0.000359,-0.000396,-0.000323
1,12,0,0.0,0.000737,0.001031,0.000442
1,14,2,0.0,0.000128,0.000181,7.5e-05
1,16,3,0.000377,-0.000591,-0.000778,-0.000404
1,18,1,9e-06,-2.5e-05,-1.2e-05,-3.7e-05
1,20,0,0.000122,-8.3e-05,-7.5e-05,-9e-05
1,22,2,6.3e-05,-0.000214,-0.000276,-0.000152
1,24,0,0.000109,-7.9e-05,-4.5e-05,-0.000113
1,26,3,0.0,0.000159,0.000299,1.9e-05
1,28,2,0.000165,-0.000575,-0.000673,-0.000477
1,30,1,5e-06,-1.4e-05,-9e-06,-2e-05
1,32,1,1.3e-05,-2.9e-05,-3.7e-05,-2.2e-05
1,34,3,0.00021,-0.000365,-0.000289,-0.00044
1,36,1,5.8e-05,-0.000141,-0.00013,-0.000152
1,38,3,3.9e-05,-6.3e-05,-7.2e-05,-5.3e-05
1,40,0,0.0,0.000131,0.00018,8.1e-05
1,42,0,0.000907,-0.000582,-0.000692,-0.000473
1,44,1,2.3e-05,-5.6e-05,-5e-05,-6.1e-05
1,46,3,2.1e-05,-3.3e-05,-4.4e-05,-2.1e-05
1,48,2,0.0,6e-06,8e-06,5e-06
1,50,0,0.0,2.1e-05,1.6e-05,2.5e-05
1,52,0,0.000112,-7.2e-05,-8.2e-05,-6.3e-05
1,54,2,5.9e-05,-0.000206,-0.000244,-0.000167
1,56,3,3.2e-05,-5.3e-05,-5.5e-05,-5e-05
1,58,3,1e-05,-1.5e-05,-2.2e-05,-7e-06
1,60,0,0.000119,-7.6e-05,-9.1e-05,-6.1e-05
1,62,1,3.2e-05,-7.2e-05,-8.8e-05,-5.6e-05
1,64,1,1e-05,-2.6e-05,-1.6e-05,-3.5e-05
1,66,0,0.0,0.000303,0.000334,0.000271
1,68,1,8.2e-05,-0.000192,-0.000219,-0.000165
1,70,3,0.0,1.2e-05,1.9e-05,5e-06
1,72,1,0.000103,-0.000237,-0.000294,-0.000179
1,74,0,0.0,0.000115,0.000163,6.8e-05
1,76,2,9.5e-05,-0.000356,-0.000288,-0.000424
1,78,1,0.00012,-0.000278,-0.000327,-0.000228
1,80,3,1.4e-05,-2.4e-05,-1.9e-05,-2.9e-05
1,82,2,7.1e-05,-0.000247,-0.000292,-0.000202
1,84,2,0.0,0.00026,0.000379,0.000141
1,86,1,6.6e-05,-0.000152,-0.000185,-0.000119
1,88,1,0.0,6e-06,6e-06,6e-06
1,90,0,0.0,0.000158,0.00023,8.7e-05
1,92,1,6e-06,-1.4e-05,-1.7e-05,-1.1e-05
1,94,1,5e-06,-1.6e-05,9e-06,-4.1e-05
1,96,1,0.000162,-0.000379,-0.000428,-0.00033
1,98,3,2.7e-05,-4.2e-05,-5.6e-05,-2.8e-05
1,100,3,4e-06,-7e-06,-1e-06,-1.4e-05
1,102,2,0.000294,-0.001068,-0.001024,-0.001111
1,104,0,0.000489,-0.000334,-0.000293,-0.000375
1,106,3,0.0,1.6e-05,2.3e-05,8e-06
1,108,1,2.8e-05,-6.3e-05,-8.7e-05,-4e-05
1,110,0,0.000161,-0.0001,-0.000137,-6.2e-05
1,112,2,3.9e-05,-0.000136,-0.000164,-0.000107
1,114,1,6.9e-05,-0.000157,-0.0002,-0.000115
1,116,3,7.5e-05,-0.000114,-0.000165,-6.4e-05
1,118,3,5e-06,-1.7e-05,2.9e-05,-6.2e-05
1,120,2,0.0,0.000182,0.000293,7.2e-05
1,122,0,0.0,6.4e-05,0.0001,2.7e-05
1,124,1,0.0,6.3e-05,3.4e-05,9.3e-05
1,126,0,0.000135,-8.4e-05,-0.000113,-5.6e-05
1,128,2,2.6e-05,-8.9e-05,-0.000119,-5.9e-05
1,130,0,2.3e-05,-1.6e-05,-1.3e-05,-2e-05
1,132,1,1.8e-05,-4.2e-05,-5.3e-05,-3e-05
1,134,1,0.000145,-0.00035,-0.000337,-0.000364
1,136,3,0.000163,-0.000252,-0.000355,-0.000148
1,138,3,4e-06,-8e-06,-1e-06,-1.5e-05
1,140,2,5e-05,-0.000178,-0.000197,-0.000158
1,142,0,0.0,0.000259,0.000262,0.000256
1,144,0,6.9e-05,-4.3e-05,-5.7e-05,-3e-05
1,146,3,0.0,2e-06,2e-06,2e-06
1,148,3,9.1e-05,-0.00016,-0.000116,-0.000204
1,150,1,0.000259,-0.000632,-0.00058,-0.000685
1,152,0,-1e-06,-2e-06,1.1e-05,-1.6e-05
1,154,0,2e-05,-1.4e-05,-9e-06,-2e-05
1,156,0,0.0,0.00039,0.000414,0.000367
1,158,3,0.000229,-0.000399,-0.000309,-0.000489
1,160,1,3.5e-05,-7.3e-05,-0.000126,-2.1e-05
1,162,1,3e-06,-7e-06,-4e-06,-1e-05
1,164,2,1.9e-05,-7e-05,-5.4e-05,-8.5e-05
1,166,2,0.0,-0.0,0.0,-1e-06
1,168,0,0.0,1.7e-05,6.3e-05,-2.8e-05
1,170,0,0.000428,-0.000306,-0.000201,-0.000412
1,172,3,0.000626,-0.001088,-0.000862,-0.001314
1,174,0,0.000341,-0.000216,-0.000272,-0.00016
1,176,2,1.3e-05,-5e-05,-3.2e-05,-6.8e-05
1,178,2,0.0,0.00081,0.000579,0.001041
1,180,3,0.000247,-0.000441,-0.000297,-0.000585
1,182,0,1.1e-05,-1e-05,6e-06,-2.6e-05
1,184,0,0.0,0.00077,0.000712,0.000828
1,186,0,0.0,9.2e-05,5.6e-05,0.000129
1,188,3,0.000324,-0.000523,-0.000612,-0.000433
1,190,3,3e-05,-4.6e-05,-6.3e-05,-3e-05
1,192,2,2.1e-05,-7.2e-05,-8.9e-05,-5.5e-05
1,194,0,7.7e-05,-5e-05,-5.5e-05,-4.5e-05
1,196,0,0.0,2.1e-05,3.8e-05,3e-06
1,198,0,8e-06,-4e-06,-1.1e-05,3e-06
1,200,1,5.4e-05,-0.00012,-0.000168,-7.3e-05
1,202,1,8.2e-05,-0.000189,-0.000223,-0.000154
1,204,1,7.1e-05,-0.00017,-0.000175,-0.000165
1,206,3,1.3e-05,-2e-05,-2.7e-05,-1.4e-05
1,208,3,2.9e-05,-5.2e-05,-3.2e-05,-7.1e-05
1,210,3,4.3e-05,-7.7e-05,-4.6e-05,-0.000108
1,212,3,0.0,6e-06,-1e-06,1.4e-05
1,214,3,5e-06,-7e-06,-8e-06,-7e-06
1,216,2,1.4e-05,-4.7e-05,-5.8e-05,-3.6e-05
1,218,2,0.0,2.6e-05,2.2e-05,3e-05
1,220,1,0.000159,-0.000368,-0.000432,-0.000304
1,222,0,0.0,7e-06,1.2e-05,1e-06
1,224,1,0.000179,-0.000405,-0.000533,-0.000277
1,226,0,0.0,3.9e-05,4.9e-05,2.8e-05
1,228,0,1.7e-05,-1.2e-05,-8e-06,-1.6e-05
1,230,0,0.0,8.3e-05,0.00011,5.7e-05
1,232,2,1.4e-05,-4.6e-05,-5.9e-05,-3.4e-05
1,234,2,2e-05,-7e-05,-8.4e-05,-5.6e-05
1,236,2,-0.0,-0.0,3e-06,-3e-06
1,238,3,0.000277,-0.000515,-0.00025,-0.00078
1,240,3,0.000151,-0.00023,-0.000336,-0.000123
1,242,3,0.000133,-0.000208,-0.000276,-0.00014
1,244,2,4.4e-05,-0.000153,-0.000187,-0.000119
1,246,0,0.000119,-7.8e-05,-8.3e-05,-7.4e-05
1,248,2,8.5e-05,-0.00028,-0.000402,-0.000158
1,250,2,4e-05,-0.000133,-0.000185,-8.1e-05
1,252,2,7.7e-05,-0.000295,-0.000201,-0.00039
1,254,2,5.3e-05,-0.000177,-0.00024,-0.000115
1,256,1,0.000208,-0.000501,-0.000496,-0.000506
1,258,0,0.000567,-0.000374,-0.000393,-0.000355
1,260,2,8.4e-05,-0.000294,-0.000336,-0.000252
1,262,3,0.000108,-0.000176,-0.000199,-0.000153
1,264,3,5.2e-05,-6.9e-05,-0.000162,2.5e-05
1,266,1,0.000121,-0.00031,-0.000216,-0.000405
1,268,0,0.000235,-0.000152,-0.000174,-0.000131
1,270,3,0.000212,-0.000329,-0.000452,-0.000207
1,272,1,0.0,0.000398,0.000604,0.000192
1,274,0,3e-06,-7e-06,1.7e-05,-3.1e-05
1,276,0,0.0,0.000408,0.000507,0.000308
1,278,2,0.0,0.000289,0.000459,0.000118
1,280,1,8e-06,-1.9e-05,-1.5e-05,-2.2e-05
1,282,1,0.000108,-0.00028,-0.000175,-0.000384
