stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state,wire_len,crit_path_del
1,2,3,7.5e-05,3,,,,-0.00018,-4.2e-05,,0.0,0.0
1,4,3,0.0,2,,,,5.7e-05,-3e-06,,0.0,0.0
1,6,3,0.000416,3,,,,-0.000764,-0.000588,,0.0,0.0
1,8,3,2e-06,2,,,,-3e-06,-4e-06,,0.0,0.0
1,10,0,3.8e-05,3,,,,-2.3e-05,-2.9e-05,,0.0,0.0
1,12,0,0.0,1,,,,0.000389,9.7e-05,,0.0,0.0
1,14,1,5.5e-05,3,,,,-0.00015,-0.000105,,0.0,0.0
1,16,1,6e-06,2,,,,-1e-05,-2.1e-05,,0.0,0.0
1,18,1,8e-06,1,,,,-1.2e-05,-2.9e-05,,0.0,0.0
1,20,3,0.000148,3,,,,-0.000286,-0.000188,,0.0,0.0
1,22,3,8.6e-05,3,,,,-0.000173,-0.000101,,0.0,0.0
1,24,3,8e-06,1,,,,-1.4e-05,-1.3e-05,,0.0,0.0
1,26,2,0.0,0,,,,6.7e-05,1.1e-05,,0.0,0.0
1,28,3,9.6e-05,3,,,,-0.000194,-0.000107,,0.0,0.0
1,30,3,0.00064,3,,,,-0.001314,-0.000697,,0.0,0.0
1,32,3,8.1e-05,3,,,,-0.000132,-0.000138,,0.0,0.0
1,34,3,2.2e-05,3,,,,-4.7e-05,-2e-05,,0.0,0.0
1,36,3,0.0,1,,,,1e-05,3e-06,,0.0,0.0
1,38,3,0.0,1,,,,3.5e-05,3.6e-05,,0.0,0.0
1,40,3,0.000125,2,,,,-0.000198,-0.000224,,0.0,0.0
1,42,3,0.000104,2,,,,-0.000182,-0.000161,,0.0,0.0
1,44,3,8e-06,2,,,,5.3e-05,-0.000111,,0.0,0.0
1,46,2,0.0,0,,,,0.000136,1.8e-05,,0.0,0.0
1,48,3,2.2e-05,3,,,,-1e-06,-9e-05,,0.0,0.0
1,50,3,0.000105,3,,,,-0.000207,-0.000126,,0.0,0.0
1,52,3,0.0,2,,,,0.00043,0.0001,,0.0,0.0
1,54,3,7e-06,2,,,,-3e-06,-2.4e-05,,0.0,0.0
1,56,3,6.6e-05,3,,,,-0.000109,-0.000112,,0.0,0.0
1,58,3,0.000137,3,,,,-0.00021,-0.000255,,0.0,0.0
1,60,3,0.0,2,,,,5e-06,-0.0,,0.0,0.0
1,62,3,0.000341,2,,,,-0.000671,-0.000413,,0.0,0.0
1,64,3,0.0,2,,,,2.5e-05,1.1e-05,,0.0,0.0
1,66,3,0.00011,2,,,,-0.000213,-0.000141,,0.0,0.0
1,68,3,0.000295,2,,,,-0.000584,-0.000351,,0.0,0.0
1,70,0,3e-06,0,,,,9e-06,-1.7e-05,,0.0,0.0
1,72,3,0.0,2,,,,8.4e-05,4.3e-05,,0.0,0.0
1,74,2,3e-06,0,,,,-8e-06,-1.5e-05,,0.0,0.0
1,76,1,3.3e-05,1,,,,-4.8e-05,-0.000128,,0.0,0.0
1,78,3,2.4e-05,2,,,,-3.3e-05,-4.9e-05,,0.0,0.0
1,80,3,0.0,0,,,,1e-06,0.00011,,0.0,0.0
1,82,3,2.7e-05,1,,,,-5.2e-05,-3.6e-05,,0.0,0.0
1,84,1,5e-06,0,,,,-1.7e-05,-5e-06,,0.0,0.0
1,86,2,0.0,0,,,,1.6e-05,7e-06,,0.0,0.0
1,88,1,4.7e-05,2,,,,-0.000141,-7.1e-05,,0.0,0.0
1,90,1,0.000145,3,,,,-0.000438,-0.00021,,0.0,0.0
1,92,1,0.000134,3,,,,-0.000332,-0.000307,,0.0,0.0
1,94,1,2.9e-05,3,,,,-8.1e-05,-5e-05,,0.0,0.0
1,96,1,0.00011,3,,,,-0.000284,-0.000236,,0.0,0.0
