stage,step,action,reward,delta,delta_bb,delta_time,wire_len,crit_path_del
1,2,2,1.8e-05,,-8.5e-05,-3.2e-05,0.0,0.0
1,4,3,0.0,,5.7e-05,-5e-06,0.0,0.0
1,6,0,0.000282,,-0.000162,-0.000227,0.0,0.0
1,8,2,1e-06,,-3e-06,-5e-06,0.0,0.0
1,10,3,0.000116,,-0.000194,-0.000192,0.0,0.0
1,12,3,7.9e-05,,-0.000153,-9.9e-05,0.0,0.0
1,14,2,7e-05,,-0.0003,-0.000176,0.0,0.0
1,16,3,2.1e-05,,-1.5e-05,-6.5e-05,0.0,0.0
1,18,3,9.1e-05,,-0.00011,-0.000216,0.0,0.0
1,20,1,0.000114,,-0.000251,-0.000309,0.0,0.0
1,22,3,6e-05,,-0.000104,-9.2e-05,0.0,0.0
1,24,1,0.000182,,-0.000512,-0.000324,0.0,0.0
1,26,2,0.000302,,-0.001253,-0.00084,0.0,0.0
1,28,3,2e-06,,0.0,-9e-06,0.0,0.0
1,30,2,7.6e-05,,-0.000318,-0.000206,0.0,0.0
1,32,3,2.5e-05,,-4.6e-05,-3.3e-05,0.0,0.0
1,34,2,1.7e-05,,-0.000108,8e-06,0.0,0.0
1,36,1,8.8e-05,,-0.00022,-0.000197,0.0,0.0
1,38,3,0.000274,,-0.000507,-0.000382,0.0,0.0
1,40,2,0.0,,0.000222,0.00014,0.0,0.0
1,42,3,6e-06,,-6e-06,-1.6e-05,0.0,0.0
1,44,1,0.000196,,-0.000501,-0.000428,0.0,0.0
1,46,1,2.3e-05,,-5e-05,-6.1e-05,0.0,0.0
1,48,1,1.1e-05,,-1.2e-05,-4.7e-05,0.0,0.0
1,50,2,0.0,,8e-06,5e-06,0.0,0.0
1,52,0,0.0,,1.6e-05,2.5e-05,0.0,0.0
1,54,0,0.000162,,-0.000109,-0.000106,0.0,0.0
1,56,2,5.1e-05,,-0.000233,-0.000113,0.0,0.0
1,58,1,0.0,,-4e-06,7.7e-05,0.0,0.0
1,60,2,2.6e-05,,-0.000106,-7.7e-05,0.0,0.0
1,62,3,0.000108,,-0.000177,-0.000183,0.0,0.0
1,64,1,6.8e-05,,-0.000187,-0.000127,0.0,0.0
1,66,0,0.0,,0.000171,-0.000101,0.0,0.0
1,68,1,2.8e-05,,-5.2e-05,-8.9e-05,0.0,0.0
1,70,1,0.0,,0.000354,5.2e-05,0.0,0.0
1,72,0,0.0,,0.001014,0.000644,0.0,0.0
1,74,3,2e-06,,-3e-06,-3e-06,0.0,0.0
1,76,0,7.7e-05,,-5.9e-05,-4e-05,0.0,0.0
1,78,2,0.00025,,-0.000911,-0.000882,0.0,0.0
